image,prompt
103.JPG,"A freshly baked croissant on a white plate, detailed close-up shot with natural morning light highlighting the flaky texture, photograph, realistic, (camera: macro lens), (shot: close-up), (render related information: high resolution, HDR, detailed)"
139.jpeg,"Multitude of birds perched on intersecting telegraph wires, digital illustration, minimalistic style, reminiscent of Art Station works, wide angle lens, high overhead shot, detailed render with (ambience:1.4)"
049.webp,"Dynamic action shot of a basketball in mid-air about to go through the hoop, clear day with vivid blue sky, digital illustration, highly detailed, inspired by dynamic sports photography, camera: sharp focus with wide angle lens, shot: side view, HDR lighting, render: Unreal Engine."
022.jpg,"Dynamic Boston Dynamics robot performing acrobatics in a high-tech industrial workshop, photorealistic digital photograph, front view, 35mm lens, high resolution, focused lighting with subtle reflections on metallic parts, detailed render"
065.jpg,"London Canary Wharf skyline at dusk, high-resolution photograph, modern cityscape, 35mm lens, high angle view, detailed urban architecture with glowing neon signs and reflections on water, golden ratio, (high resolution:1.3), (detailed:1.25), night lighting with soft ambient street lights and vivid colors"
095.jpg,"Misty morning in a serene wetland, featuring a lone, leafless tree by a calm pond, surrounded by dense reeds and frost-covered grass, outdoor setting; Type of Image: photorealistic image, peaceful nature photography, Art Inspirations: none, Camera: wide angle 35mm lens, Shot: low angle, Render Related Information: sunrise lighting:1.2, (hyper detailed:1.3), (high resolution:1.25), (natural light:1.5)"
041.webp,"Two military personnel inspecting a truck on a dusty road, realistic photograph, midday natural light casting sharp shadows, shot with a wide angle lens (35mm), high resolution, detailed textures on the combat uniforms and truck surface, clear focus on the subjects, background slightly blurred to emphasize the subjects in the foreground."
136.jpg,"photorealistic image of a dark brown horse peering over a stable door, late afternoon sunlight highlighting its glossy coat, high resolution, 35mm lens, detailed texture of the horse’s skin and stable wood, natural light, side view"
003.webp,"Enormous mushroom cloud erupting from a distant landscape, reminiscent of a World War II scenario, digital illustration, surrealism, inspired by Salvador Dali, camera: 800mm lens, high angle shot, render: hyper detailed, lighting: HDR"
046.webp,"Photorealistic Image: expansive aerial shot of a modern sports stadium bustling with activity, high resolution photograph, intense match day scene, using wide angle lens (35mm), detailed crowd textures, vibrant colors from banners and team jerseys, dramatic natural lighting and contrasting shadows, HDR:1.25"
021.webp,"Distinguished gentleman in a formal black suit seen from behind, standing in a room bustling with other formally dressed people, UHD 8K photorealistic style, indoor, low angle shot using a 35mm lens, soft studio lighting highlighting the contours of his hair and the suit's texture, an air of mystery and solemnity filling the scene."
081.jpg,"A majestic cathedral, early morning sunlight casting soft shadows, Romanesque architecture, realistic photographic style, front view, 35mm lens, HDR, high resolution, professional level detail"
025.webp,"Honeybee pollinating bright yellow wildflowers, high-resolution photograph, soft natural light, sharp focus lens 135mm, background blurred with bokeh effect, warm sunny day outdoor setting"
070.jpg,"Majestic cloud formation at sunset, vibrant orange and gold hues, over a serene landscape, Photorealistic Image, outdoor setting, 8K resolution, HDR lighting, ultra wide angle lens 35mm, golden hour illumination"
018.webp,"Stealth jet fighter in clear blue sky, leaving contrails, digital illustration, high-resolution, Art Station inspired, cinematic shot from a low angle using wide angle lens, detailed rendering with (hdr:1.25), (high resolution:1.5), (clear blue sky:1.3)"
061.jpg,"Earth from space, highly detailed photorealistic image, showing vibrant natural colors of the oceans and continents, sun light casting dynamic shadows, wide angle shot with sharp focus using 35mm lens, HDR, 8K resolution"
110.jpg,"Empty tram interior, long shot, photorealistic image, blue and yellow color scheme emphasizing the seats and poles, interior illuminated by overhead linear LED lights, highly detailed with sharp focus, 35mm lens, HDR lighting"
063.jpg,"Astronaut walking on the moon near a planted American flag, realistic photographic style, lunar surface with fine moon dust and small craters, high angle view, wide angle lens, HDR, ultra high resolution, professional lighting capturing the rough texture and reflective suit materials"
088.jpg,"Cluster of vibrant red rowan berries with detailed green leaves against a pitch-black background, ultra-high resolution photograph, realistic, 135mm lens, close-up shot, natural light, highly detailed texture of berries and leaves"
096.jpg,"Majestic eruption of Old Faithful Geyser, Yellowstone National Park, 70mm lens close-up shot, high resolution, HDR, natural sunlight casting dynamic shadows, hyper-detailed photorealistic image"
057.jpg,"Adélie penguins interacting playfully on a snowy Antarctic landscape, Digital Illustration, watercolor style inspired by Artstation, high angle view, detailed textures, with soft ambient light, (pastel colors:1.3) and (HDR:1.25)"
016.jpg,"Close-up shot of intricate electronics, microchips, capacitors on a motherboard, 4K photorealistic image, HDR, mainly blue tones with fluorescent lighting accents, macro lens, highly detailed, futuristic technology look"
135.jpg,"Early morning fog gently lifting off rolling pastoral hills, sheep grazing peacefully, soft sun rays piercing through a misty backdrop, romantic and serene rural landscape, digital painting, inspired by the tranquil scenes in Thomas Kinkade's artworks, using soft light and a 35mm lens, medium shot, detailed with (HDR:1.25), (vivid colors:0.8), (tranquil:1.2)"
047.webp,"A young panda climbing a cherry tree, surrounding softly blurred cherry blossoms in full bloom, Photorealistic image, low angle view, 85mm lens, HDR, high detailed textures, lighting simulating early morning light"
134.jpg,"Vibrantly blooming pink azaleas on an aged bonsai tree, set against a dusky, enchanting garden, hyper-detailed photograph, moody ambient light reflecting off the petals, front view, 35mm wide-angle lens, high resolution, HDR"
019.webp,"solitary crescent moon set against a pitch-black sky, Type of Image: high-resolution photograph, wide angle lens, HDR, highly detailed, mystical ambient light"
038.webp,"Stormy ocean with high, dynamic waves, reflecting a stormy sky overhead, photograph, captured with a 35mm lens, high resolution, detailed texture of the sea spray, natural light with (dark colors:1.2), panoramic shot"
075.jpg,"Whole yellow apple on left and half cut apple on right showing seed, high resolution photograph, close-up shot with a 50mm lens, ambient soft light"
145.jpg,"Empty park bench by a serene ocean, clear blue sky, Photorealistic Image, daytime side view, 35mm lens, high resolution, HDR lighting, (backlight:1.3)"
064.jpg,"Highly detailed photorealistic image of a bustling football stadium with crowded entrance gates and intense game atmosphere, Type of Image: photograph, outdoor environment with urban skyline, Camera: wide angle lens, Shot: high angle, Render Related Information: 4K resolution, hyper detailed, HDR lighting"
150.jpg,"Majestic urban skyline under a full moon, highly detailed photorealistic image, sunrise lighting with golden reflections on modern skyscrapers, snowy mountains in the background, shot using a 70mm lens, high resolution, UHD, wide angle view"
029.webp,"medical research laboratory, indoor scene of a researcher handling labeled specimen tubes in a highly organized rack, realistic photograph, art inspirations: none, camera: 135mm+, shot: close-up, detailed texture of gloves and tube labels, lighting: natural light coming from left, high resolution, sharp focus"
001.webp,"Space rocket launching at dawn with a fiery red and orange blast, captured in a high-resolution photograph, long shot, using a 300mm lens, crisp focus on the rocket as it emerges from the launchpad surrounded by plumes of smoke, detailed depiction of the engineering marvel against a clear blue sky, (HDR:1.25), (8K resolution), (detailed:1.2)"
043.jpg,"Bowl of spaghetti with kale and creamy sauce, 4K resolution, photorealistic image, high detail, vivid colors, natural light, front view, shot with a 35mm lens"
132.jpeg,"Majestic aged lion with scars and intense eyes, high resolution photorealistic image, in the natural habitat savannah background, golden hour sunlight casting dramatic shadows, using a 300mm lens, HDR, highly detailed fur texture, professional wildlife photography"
118.jpg,"Tabby cat peeking out from under a dark grey blanket, hyper-detailed digital illustration, invoking the style of Rembrandt with dramatic chiaroscuro lighting, vivid yet soft focus with a 35mm lens, high-angle shot, (artstation:1.2), (intricate details:1.14)"
125.jpg,"Freight train hurtling along the edge of towering snow-capped mountains, realistic photographic style, high angle shot, using a 70mm lens, detailed resolution with vibrant natural light, HDR, professional"
031.webp,"Racing driver celebrating victory on the track, dressed in a modern F1 suit adorned with sponsors, fist pumped in the air, helmet detailed with vibrant racing graphics, high resolution digital photograph, front view, 35mm lens, studio lighting, sharp focus, vibrant colors, (hdr:1.25)"
098.jpg,"An abandoned wooden house under the Northern Lights, winter snow-covered landscape, high resolution photograph, 35mm lens, wide angle view, vivid green auroras lighting up the night sky, (snowy terrain:1.2), (night sky:1.3), (northern lights vividness:1.5)"
102.webp,"A commercial airplane ascending gracefully against a backdrop of dramatic storm clouds, photographed, realistic style, rendered in HDR with a 300mm lens at high angle, highly detailed, soft light for emphasis on the clouds’ textures and airplane's sleek design"
009.webp,"A vintage train moving through a cherry blossom-lined track in spring, highly detailed, digital illustration, inspired by ArtStation and Deviantart collections, wide angle shot, sunset lighting with soft light filtering through the trees, high resolution render"
142.jpg,"vibrant pink blossoms engulfing a vivid green and white street sign, close-up, realistic photograph, outdoor during springtime, 35mm lens, high angle, highly detailed, natural daylight conditions, hyper detailed"
111.jpg,"{Close-up of a chrome water tap with a vibrant, psychedelic water drop hanging, Type of Image: highly detailed digital illustration, Art Styles: hyperrealism with surreal elements, Art Inspirations: ArtStation and Behance, Camera: macro lens, Shot: close-up, Render Related Information: HDR lighting, resolution: 8K, color splash: vivid colors}"
121.jpg,"Traditional Japanese village during cherry blossom season, digital illustration, ukiyo-e art style inspired by Hokusai, clean style, rendered in Unreal Engine, wide angle, HDR, high resolution, Rembrandt lighting"
106.webp,"Colorful square panels with detailed water droplets texture, high resolution digital illustration, abstract expressionism, inspired by Gerhard Richter, top front view, 70mm lens, 4K detail"
082.jpg,"A majestic tiger walking confidently on a dusty trail in a dense, dry forest, early morning light casting long shadows, realistic wildlife photography, 300mm lens, high angle shot, HDR, highly detailed, natural light, vivid colors"
054.jpg,"Statue of Liberty in a surreal setting of purple and green extraterrestrial landscape, Digital Illustration, impressionism, inspired by Salvador Dali and Van Gogh, wide angle lens, ambient light with hints of neon, 4K high resolution"
146.jpg,"{A small bird perched delicately among blooming cherry blossoms, its feathers intricately detailed}, photograph, photorealistic, outdoor scene, (sun light:1.2), 64K resolution, (sharp focus:1.1), lens EE 135mm+, high angle view"
131.jpg,"majestic chestnut horse with a flowing blonde mane standing against a backdrop of towering snow-capped mountains, Photorealistic Image, outdoor, snowy landscape, 35mm lens, panoramic shot, natural light, high resolution"
059.jpg,"Traditional Dutch windmill on a clear sunny day, high resolution photograph, 70mm lens, hyper detailed, vibrant natural light, professional grade color accuracy, soft shadows with (rich textures:1.2), shot from a (low angle:0.9) emphasizing the majestic size of the windmill"
062.jpg,"Vintage fire hose reel and clock on a wall, photorealistic image, industrial indoor setting with exposed piping and blue tiled wall, EE 35mm lens, high angle shot, HDR, high resolution"
